cris_id,title,publication_type,doi,doi_link,resolved_doi_link
17458326,Periodically Collapsing Bubbles in the US Stock Market?,Forschungsartikel (Zeitschrift),10.1016/S1059-0560(02)00128-4,https://doi.org/10.1016/S1059-0560(02)00128-4,https://linkinghub.elsevier.com/retrieve/pii/S1059056002001284
17458406,Spatial Market Efficiency and Policy Regime Change: Seemingly Unrelated Error Correction Model Estimation,Forschungsartikel (Zeitschrift),10.1111/1467-8276.00366,https://doi.org/10.1111/1467-8276.00366,https://onlinelibrary.wiley.com/doi/10.1111/1467-8276.00366
17458496,Persistence in Government Spending Fluctuations: New Evidence on the Displacement Effect. A Comment on Goff,Forschungsartikel (Zeitschrift),10.1023/A:1026435714514,https://doi.org/10.1023/A:1026435714514,https://link.springer.com/article/10.1023/A:1026435714514
17458735,Testing the Long-Run Implications of the Neoclassical Stochastic Growth Model: A Panel-Based Unit Root Investigation for West German Länder 1970 – 1994,Forschungsartikel (Zeitschrift),10.1016/S0164-0704(99)00096-8,https://doi.org/10.1016/S0164-0704(99)00096-8,https://linkinghub.elsevier.com/retrieve/pii/S0164070499000968
17458815,Demand for Cash Balances in Germany: Theoretical Underpinnings and Empirical Evidence,Forschungsartikel (Zeitschrift),10.1080/000368498325192,https://doi.org/10.1080/000368498325192,https://www.tandfonline.com/doi/abs/10.1080/000368498325192
17477745,Sind Gruppen die besseren Entscheider? Experimentelle Evidenz am Beispiel simulierter Entscheidungen im Kontext der Lagerverwaltung,Forschungsartikel (Zeitschrift),10.1007/s00187-009-0084-5,https://doi.org/10.1007/s00187-009-0084-5,https://link.springer.com/article/10.1007/s00187-009-0084-5
17483793,Alumni Relationship Management als Erfolgsfaktor im Wettbewerb der Hochschulen,Forschungsartikel (Zeitschrift),10.1007/s11573-009-0230-4,https://doi.org/10.1007/s11573-009-0230-4,https://link.springer.com/article/10.1007/s11573-009-0230-4
17517257,Are Athletes Doped? Some Theoretical Arguments and Empirical Evidence,Forschungsartikel (Zeitschrift),10.1111/j.1465-7287.2007.00076.x,https://doi.org/10.1111/j.1465-7287.2007.00076.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1465-7287.2007.00076.x
17541927,How tame will Leviathan become in institutional competition? Competition among governments in the provision of public goods,Forschungsartikel (Zeitschrift),10.1023/A:1010320505547,https://doi.org/10.1023/A:1010320505547,https://link.springer.com/article/10.1023/A:1010320505547
17542168,Democracy and Prosperity in Two Decades of Transition,Forschungsartikel (Zeitschrift),10.1111/j.1468-0351.2011.00418.x,https://doi.org/10.1111/j.1468-0351.2011.00418.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-0351.2011.00418.x
17542249,Why is There no Revolution in North Korea? The Political Economy of Revolutions Revisited,Forschungsartikel (Zeitschrift),10.1007/s11127-010-9716-4,https://doi.org/10.1007/s11127-010-9716-4,https://link.springer.com/article/10.1007/s11127-010-9716-4
